series_id,account_id,result
643473,111114687,0
643473,118134220,0
643473,147767183,2
643473,150961567,2
643473,157475523,0
643473,173978074,0
643473,179313961,2
643473,249835593,2
643473,320252024,2
643473,898754153,0
643491,94296097,0
643491,94738847,0
643491,106863163,0
643491,107803494,2
643491,119535307,0
643491,129958758,2
643491,136177710,0
643491,148215639,2
643491,183378746,2
643491,207829314,2
643634,50828662,2
643634,84429681,2
643634,86822085,2
643634,98172857,0
643634,108452107,0
643634,110448679,2
643634,126238768,2
643634,169025618,0
643634,193884241,0
643634,221666230,0
643672,25907144,2
643672,26771994,2
643672,38628747,0
643672,86745912,2
643672,97658618,0
643672,124801257,2
643672,126212866,0
643672,145550466,0
643672,154715080,2
643672,238239590,0
643746,107803494,0
643746,129958758,0
643746,147767183,2
643746,148215639,0
643746,150961567,2
643746,179313961,2
643746,183378746,0
643746,207829314,0
643746,249835593,2
643746,320252024,2
643766,94296097,2
643766,94738847,2
643766,106863163,2
643766,111114687,0
643766,118134220,0
643766,119535307,2
643766,136177710,2
643766,157475523,0
643766,173978074,0
643766,898754153,0
644008,38628747,0
644008,97658618,0
644008,98172857,2
644008,108452107,2
644008,126212866,0
644008,145550466,0
644008,169025618,2
644008,193884241,2
644008,221666230,2
644008,238239590,0
644066,25907144,0
644066,26771994,0
644066,50828662,2
644066,84429681,2
644066,86745912,0
644066,86822085,2
644066,110448679,2
644066,124801257,0
644066,126238768,2
644066,154715080,0
644163,94296097,0
644163,94738847,0
644163,106863163,0
644163,107803494,2
644163,119535307,0
644163,129958758,2
644163,136177710,0
644163,148215639,2
644163,183378746,2
644163,207829314,2
644199,94296097,2
644199,94738847,2
644199,106863163,2
644199,111114687,0
644199,118134220,0
644199,119535307,2
644199,136177710,2
644199,157475523,0
644199,173978074,0
644199,898754153,0
644221,94296097,2
644221,94738847,2
644221,106863163,2
644221,111114687,0
644221,118134220,0
644221,119535307,2
644221,136177710,2
644221,157475523,0
644221,173978074,0
644221,898754153,0
644418,25907144,0
644418,26771994,0
644418,86745912,0
644418,98172857,2
644418,108452107,2
644418,124801257,0
644418,154715080,0
644418,169025618,2
644418,193884241,2
644418,221666230,2
644482,25907144,2
644482,26771994,2
644482,38628747,0
644482,86745912,2
644482,97658618,0
644482,124801257,2
644482,126212866,0
644482,145550466,0
644482,154715080,2
644482,238239590,0
644701,5150808,0
644701,90423751,0
644701,91460772,0
644701,92601861,2
644701,140297552,2
644701,257698084,2
644701,293731272,0
644701,314584168,2
644701,363871826,0
644701,412753955,2
644854,88470,0
644854,103296177,0
644854,107803494,2
644854,129958758,2
644854,148215639,2
644854,183378746,2
644854,197849259,0
644854,199222238,0
644854,207829314,2
644854,224302441,0
644870,101259972,2
644870,111114687,0
644870,118134220,0
644870,138857296,2
644870,157475523,0
644870,168028715,2
644870,173978074,0
644870,182331313,2
644870,202217968,2
644870,898754153,0
645074,85367644,2
645074,117089283,0
645074,155332459,0
645074,219225327,2
645074,230580807,2
645074,277196834,2
645074,339235645,0
645074,352545711,0
645074,408729743,0
645074,1071332616,2
645141,94296097,2
645141,94738847,2
645141,106863163,2
645141,119535307,2
645141,134276083,0
645141,136177710,2
645141,137193239,0
645141,138543123,0
645141,143693439,0
645141,185908355,0
645184,107081378,2
645184,114645455,2
645184,137129583,2
645184,147767183,0
645184,150961567,0
645184,156662698,2
645184,179313961,0
645184,249835593,0
645184,277141004,2
645184,320252024,0
645212,92601861,2
645212,99155835,0
645212,126702445,0
645212,140297552,2
645212,165564598,0
645212,178692606,0
645212,257698084,2
645212,314584168,2
645212,412753955,2
645212,1110152099,0
645308,50828662,0
645308,81475303,2
645308,84429681,0
645308,86822085,0
645308,110448679,0
645308,110583422,2
645308,126238768,0
645308,138880576,2
645308,153125655,2
645308,412758827,2
645430,88470,0
645430,103296177,0
645430,111114687,2
645430,146776927,2
645430,157475523,2
645430,173978074,2
645430,197849259,0
645430,199222238,0
645430,224302441,0
645430,898754153,2
645440,134276083,0
645440,137193239,0
645440,138543123,0
645440,143693439,0
645440,147767183,2
645440,150961567,2
645440,179313961,2
645440,185908355,0
645440,249835593,2
645440,320252024,2
645725,101259972,2
645725,107803494,0
645725,129958758,1
645725,138857296,2
645725,148215639,0
645725,168028715,2
645725,182331313,2
645725,183378746,0
645725,202217968,2
645725,207829314,0
645725,348210175,0
645762,94296097,0
645762,94738847,0
645762,106863163,0
645762,107081378,2
645762,114645455,2
645762,119535307,0
645762,136177710,0
645762,137129583,2
645762,156662698,2
645762,277141004,2
645824,41843638,2
645824,86317757,2
645824,92601861,0
645824,118419316,2
645824,129035220,2
645824,140297552,2
645824,141690233,0
645824,194979527,2
645824,257698084,0
645824,314584168,0
645824,412753955,0
645922,81475303,1
645922,99796146,1
645922,101779337,1
645922,110583422,1
645922,138880576,1
645922,153125655,1
645922,180775030,1
645922,191290281,1
645922,352623024,1
645922,412758827,1
645933,50828662,0
645933,84429681,0
645933,85367644,2
645933,86822085,0
645933,110448679,0
645933,126238768,0
645933,151643048,2
645933,230580807,2
645933,361688848,2
645933,1071332616,2
646016,107803494,0
646016,129958758,0
646016,147767183,2
646016,148215639,0
646016,150961567,2
646016,179313961,2
646016,183378746,0
646016,207829314,0
646016,249835593,2
646016,320252024,2
646047,94296097,0
646047,94738847,0
646047,106863163,0
646047,111114687,2
646047,118134220,2
646047,119535307,0
646047,136177710,0
646047,157475523,2
646047,173978074,2
646047,898754153,2
646210,81475303,1
646210,105045291,1
646210,110583422,1
646210,125995177,1
646210,131303632,1
646210,138177198,1
646210,138880576,1
646210,153125655,1
646210,177203952,1
646210,412758827,1
646328,94296097,2
646328,94738847,2
646328,106863163,2
646328,107803494,0
646328,119535307,2
646328,129958758,0
646328,136177710,2
646328,148215639,0
646328,183378746,0
646328,207829314,0
646364,88470,2
646364,103296177,2
646364,134276083,0
646364,137193239,0
646364,138543123,0
646364,143693439,0
646364,185908355,0
646364,197849259,2
646364,199222238,2
646364,224302441,2
646421,12231202,0
646421,18180970,0
646421,20603135,2
646421,41231571,0
646421,93430669,2
646421,101963914,2
646421,122049498,0
646421,142712028,2
646421,151069590,0
646421,248096417,2
646441,12231202,0
646441,18180970,0
646441,41231571,0
646441,115461162,2
646441,122049498,0
646441,124306043,2
646441,145521249,2
646441,151069590,0
646441,374875067,2
646441,375980084,2
646467,92601861,2
646467,141690233,2
646467,161839895,0
646467,175463659,0
646467,205517338,0
646467,214853734,0
646467,257698084,2
646467,269930820,0
646467,314584168,2
646467,412753955,2
646471,12231202,0
646471,18180970,0
646471,41231571,0
646471,94439767,2
646471,114500675,2
646471,122049498,0
646471,151069590,0
646471,262476000,2
646471,313198707,2
646471,930586713,2
646510,12231202,0
646510,18180970,0
646510,41231571,0
646510,94439767,2
646510,114500675,2
646510,122049498,0
646510,151069590,0
646510,262476000,2
646510,313198707,2
646510,930586713,2
646641,81475303,2
646641,110583422,2
646641,117089283,0
646641,138880576,2
646641,153125655,2
646641,155332459,0
646641,339235645,0
646641,352545711,0
646641,408729743,0
646641,412758827,2
646737,88470,0
646737,103296177,0
646737,107803494,2
646737,129958758,2
646737,148215639,2
646737,183378746,2
646737,197849259,0
646737,199222238,0
646737,207829314,2
646737,224302441,0
646747,88470,2
646747,103296177,2
646747,134276083,0
646747,137193239,0
646747,138543123,0
646747,143693439,0
646747,185908355,0
646747,197849259,2
646747,199222238,2
646747,224302441,2
647217,10366616,0
647217,86698277,0
647217,94786276,0
647217,100058342,0
647217,103735745,0
647217,113331514,2
647217,159020918,2
647217,302214028,2
647217,321580662,2
647217,431770905,2
647219,34505203,0
647219,38628747,2
647219,82262664,0
647219,97658618,2
647219,101356886,0
647219,105248644,0
647219,113995822,0
647219,126212866,2
647219,145550466,2
647219,238239590,2
647223,76904792,2
647223,86700461,2
647223,91369376,2
647223,93618577,0
647223,117483894,0
647223,152859296,2
647223,167976729,0
647223,181716137,2
647223,183719386,0
647223,401792574,0
647226,84772440,2
647226,87278757,2
647226,89117038,2
647226,100594231,0
647226,111620041,2
647226,121769650,2
647226,155494381,0
647226,156328257,0
647226,324277900,0
647226,392565237,0
647228,38628747,2
647228,97658618,2
647228,113331514,0
647228,126212866,2
647228,145550466,2
647228,159020918,0
647228,238239590,2
647228,302214028,0
647228,321580662,0
647228,431770905,0
647239,84772440,2
647239,87278757,2
647239,89117038,2
647239,93618577,0
647239,111620041,2
647239,117483894,0
647239,121769650,2
647239,167976729,0
647239,183719386,0
647239,401792574,0
647250,10366616,0
647250,38628747,2
647250,86698277,0
647250,94786276,0
647250,97658618,2
647250,100058342,0
647250,103735745,0
647250,126212866,2
647250,145550466,2
647250,238239590,2
647264,93618577,2
647264,100594231,0
647264,117483894,2
647264,155494381,0
647264,156328257,0
647264,167976729,2
647264,183719386,2
647264,324277900,0
647264,392565237,0
647264,401792574,2
647265,76904792,2
647265,84772440,0
647265,86700461,2
647265,87278757,0
647265,89117038,0
647265,91369376,2
647265,111620041,0
647265,121769650,0
647265,152859296,2
647265,181716137,2
647271,10366616,0
647271,86698277,0
647271,94786276,0
647271,100058342,0
647271,100471531,2
647271,102099826,2
647271,103735745,0
647271,132309493,2
647271,148526973,2
647271,164532005,2
647375,81475303,0
647375,86818655,2
647375,88153289,2
647375,88611330,2
647375,110583422,0
647375,138880576,0
647375,153125655,0
647375,203851397,2
647375,412758827,0
647375,916319073,2
647478,10366616,2
647478,34505203,0
647478,82262664,0
647478,86698277,2
647478,94786276,2
647478,100058342,2
647478,101356886,0
647478,103735745,2
647478,105248644,0
647478,113995822,0
647480,38628747,0
647480,97658618,0
647480,100471531,2
647480,102099826,2
647480,126212866,0
647480,132309493,2
647480,145550466,0
647480,148526973,2
647480,164532005,2
647480,238239590,0
647488,38628747,0
647488,97658618,0
647488,100471531,2
647488,102099826,2
647488,126212866,0
647488,132309493,2
647488,145550466,0
647488,148526973,2
647488,164532005,2
647488,238239590,0
647515,38628747,2
647515,84772440,0
647515,87278757,0
647515,89117038,0
647515,97658618,2
647515,111620041,0
647515,121769650,0
647515,126212866,2
647515,145550466,2
647515,238239590,2
647740,34505203,0
647740,82262664,0
647740,93618577,2
647740,101356886,0
647740,105248644,0
647740,113995822,0
647740,117483894,2
647740,167976729,2
647740,183719386,2
647740,401792574,2
647759,10366616,0
647759,86698277,0
647759,94786276,0
647759,100058342,0
647759,100594231,2
647759,103735745,0
647759,155494381,2
647759,156328257,2
647759,324277900,2
647759,392565237,2
647807,93618577,2
647807,113331514,0
647807,117483894,2
647807,159020918,0
647807,167976729,2
647807,183719386,2
647807,302214028,0
647807,321580662,0
647807,401792574,2
647807,431770905,0
647860,12231202,0
647860,18180970,0
647860,41231571,0
647860,66691128,2
647860,93845249,2
647860,102797362,2
647860,104314302,2
647860,122049498,0
647860,151069590,0
647860,171097887,2
647927,81475303,2
647927,99796146,0
647927,101779337,0
647927,110583422,2
647927,138880576,2
647927,153125655,2
647927,180775030,0
647927,191290281,0
647927,352623024,0
647927,412758827,2
647991,84772440,2
647991,87278757,2
647991,89117038,2
647991,100594231,0
647991,111620041,2
647991,121769650,2
647991,155494381,0
647991,156328257,0
647991,324277900,0
647991,392565237,0
648003,139031324,0
648003,140159807,2
648003,158847773,0
648003,162077924,2
648003,182325064,2
648003,192819341,0
648003,227657377,0
648003,293950128,0
648003,470392491,2
648003,1018920137,2
648006,139031324,0
648006,140159807,2
648006,158847773,0
648006,162077924,2
648006,182325064,2
648006,192819341,0
648006,227657377,0
648006,293950128,0
648006,470392491,2
648006,1018920137,2
648020,10366616,0
648020,34505203,2
648020,82262664,2
648020,86698277,0
648020,94786276,0
648020,100058342,0
648020,101356886,2
648020,103735745,0
648020,105248644,2
648020,113995822,2
648108,12231202,0
648108,18180970,0
648108,41231571,0
648108,62533910,2
648108,65976924,2
648108,92028391,2
648108,122049498,0
648108,151069590,0
648108,176961039,2
648108,230487729,2
648205,67893845,2
648205,92253768,2
648205,93159453,2
648205,98961223,0
648205,114585639,0
648205,169405715,0
648205,172739956,2
648205,361688848,0
648205,874542740,2
648205,1035128290,0
648208,86715129,0
648208,110583422,0
648208,131777279,2
648208,138880576,0
648208,153125655,0
648208,160119017,2
648208,260334344,2
648208,287481472,2
648208,365672955,2
648208,412758827,0
648210,79922175,2
648210,85367644,0
648210,143786911,2
648210,150914755,2
648210,151643048,0
648210,155347318,2
648210,219225327,0
648210,230580807,0
648210,365093914,2
648210,1071332616,0
648315,103940975,2
648315,136421659,2
648315,137895298,2
648315,139031324,0
648315,158847773,0
648315,192819341,0
648315,198455581,2
648315,227657377,0
648315,293950128,0
648315,1101855381,2
648409,10366616,2
648409,86698277,2
648409,94786276,2
648409,100058342,2
648409,100594231,0
648409,103735745,2
648409,155494381,0
648409,156328257,0
648409,324277900,0
648409,392565237,0
648599,81475303,0
648599,98961223,2
648599,110583422,0
648599,114585639,2
648599,138880576,0
648599,153125655,0
648599,169405715,2
648599,361688848,2
648599,412758827,0
648599,1035128290,2
648818,50828662,0
648818,84429681,0
648818,85367644,2
648818,86822085,0
648818,110448679,0
648818,126238768,0
648818,151643048,2
648818,219225327,2
648818,230580807,2
648818,1071332616,2
648874,50828662,2
648874,81475303,0
648874,84429681,2
648874,86822085,2
648874,110448679,2
648874,110583422,0
648874,126238768,2
648874,138880576,0
648874,153125655,0
648874,412758827,0
649122,59752811,2
649122,81475303,0
649122,91741256,2
649122,110583422,0
