account_id,steamid,personaname,last_login,full_history_time,fh_unavailable,last_match_time,name,country_code,fantasy_role,team_id,team_name,team_tag
111620041,76561198071885769,Dale Cooper,,2021-09-05T11:48:55.023Z,True,2021-07-10T20:24:50.000Z,SumaiL,pk,1,2586976,OG,OG
94054712,76561198054320440,Topson,2019-05-23T18:01:23.836Z,2021-09-20T00:03:07.700Z,True,2021-07-10T20:24:50.000Z,Topson,fi,4,2586976,OG,OG
157475523,76561198117741251,总要创死一个,,2021-09-11T03:53:54.425Z,False,2021-09-19T19:24:04.000Z,XinQ,cn,2,15,PSG.LGD,PSG.LGD
173978074,76561198134243802,NothingToSay,2017-09-14T02:21:07.157Z,2021-09-18T08:14:50.283Z,False,2021-09-19T19:40:37.000Z,NothingToSay,my,4,15,PSG.LGD,PSG.LGD
111114687,76561198071380415,Here`s To Never Growing Up,,2021-09-16T02:04:27.795Z,False,2021-09-19T18:44:02.000Z,y`,cn,2,15,PSG.LGD,PSG.LGD
118134220,76561198078399948,Faith_bian,,2021-09-17T13:26:47.342Z,False,2021-09-19T18:39:07.000Z,Faith_bian,cn,1,15,PSG.LGD,PSG.LGD
898754153,76561198859019881,圣嘉然之力,,2021-09-18T12:42:54.606Z,True,2021-09-10T19:17:30.000Z,萧瑟,,1,15,PSG.LGD,PSG.LGD
221666230,76561198181931958,Equilibrium,,2021-08-25T07:52:42.414Z,True,2021-06-19T13:04:13.000Z,Quinn,us,4,7390454,Quincy Crew,QCY
47434686,76561198007700414,LoA,,2021-05-22T06:21:24.531Z,True,2021-06-19T13:04:13.000Z,LoA,,2,7390454,Quincy Crew,QCY
108452107,76561198068717835,Nights,,2021-07-23T18:07:46.722Z,True,2021-06-19T13:04:13.000Z,YS,pk,1,7390454,Quincy Crew,QCY
86726887,76561198046992615,Felidae,2016-09-14T16:00:58.220Z,2021-06-20T14:48:11.356Z,True,2021-06-19T13:04:13.000Z,MSS,us,2,7390454,Quincy Crew,QCY
87063175,76561198047328903,LUKILUKI666 THE ImmoRTALL RAAAAA,2017-04-22T20:08:59.799Z,2021-09-15T00:26:13.784Z,True,2021-06-19T13:04:13.000Z,LESLÃO,,1,7390454,Quincy Crew,QCY
85937380,76561198046203108,mental strenght of a 3.y.o,2015-09-01T18:13:47.678Z,2021-09-13T03:09:53.416Z,True,2021-09-19T19:00:13.000Z,4dr ♥ Deia,br,4,8255756,SG esports,SG
86822085,76561198047087813,qzxuan,2020-06-25T17:28:42.313Z,2021-09-08T17:22:14.671Z,True,2021-09-08T14:20:56.000Z,Costabile,,1,8255756,SG esports,SG
81306398,76561198041572126,Crey lancha gringo,2020-09-17T06:12:33.926Z,2021-09-06T23:27:50.846Z,False,2021-09-19T18:13:20.000Z,KJ,br,2,8255756,SG esports,SG
117956848,76561198078222576,zzzzzzzzzzzzzzz,2016-06-05T23:57:20.643Z,2021-09-10T05:39:46.095Z,False,2021-09-14T16:00:50.000Z,tavo,br,1,8255756,SG esports,SG
105045291,76561198065311019,dsdfs,2018-09-13T18:21:08.409Z,2021-08-24T11:45:30.034Z,True,2021-09-08T14:20:56.000Z,Thiolicor,br,2,8255756,SG esports,SG
72312627,76561198032578355,ihcmik,,2021-09-16T16:12:05.085Z,True,2021-06-17T17:05:06.000Z,MATUMBAMAN,fi,1,1838315,Team Secret,Secret
73562326,76561198033828054,arturo mon amour,,2021-09-15T19:01:19.327Z,True,2021-06-17T17:05:06.000Z,zai,se,1,1838315,Team Secret,Secret
87278757,76561198047544485,Puppey,,2021-09-15T11:56:23.565Z,True,2021-06-17T17:05:06.000Z,Puppey,ee,2,1838315,Team Secret,Secret
121769650,76561198082035378,Nisha,,2021-05-18T15:06:10.274Z,True,2021-06-17T17:05:06.000Z,Nisha,pl,4,1838315,Team Secret,Secret
89117038,76561198049382766,YapzOr,,2021-09-12T22:30:41.852Z,False,2021-09-19T21:40:56.000Z,YapzOr,jo,2,1838315,Team Secret,Secret
121404228,76561198081669956,Asta,,2021-08-23T12:12:16.856Z,True,2021-09-08T18:44:51.000Z,Xepher,id,2,8214850,T1,T1
94281932,76561198054547660,dx,,2021-09-02T17:00:52.091Z,False,2021-09-19T14:28:36.000Z,Karl,,4,8214850,T1,T1
184950344,76561198145216072,pick pos 4 range or throw,,2021-09-11T15:30:03.434Z,True,2021-09-08T18:44:51.000Z,Ku,ph,1,8214850,T1,T1
375507918,76561198335773646,smiley_face,2019-07-31T12:41:08.078Z,2021-09-17T21:46:16.863Z,False,2021-09-19T20:37:45.000Z,23,th,1,8214850,T1,T1
302214028,76561198262479756,inai,2021-02-08T16:13:31.505Z,2021-09-07T08:17:06.421Z,False,2021-09-10T19:17:30.000Z,Collapse,ru,1,7119388,Team Spirit,TSpirit
256156323,76561198216422051,???!,2021-04-14T15:01:33.476Z,2021-09-14T15:37:52.145Z,True,2021-09-10T19:17:30.000Z,Mira,ua,2,7119388,Team Spirit,TSpirit
431770905,76561198392036633,初雪,2021-01-18T07:39:27.011Z,2021-08-09T11:53:17.942Z,True,2021-09-10T19:17:30.000Z,TORONTOTOKYO,,4,7119388,Team Spirit,TSpirit
113331514,76561198073597242,Кайфарик,,2021-09-16T18:41:00.894Z,True,2021-09-10T19:17:30.000Z,Miposhka,,2,7119388,Team Spirit,TSpirit
321580662,76561198281846390,Yatoro,2020-06-02T18:40:35.010Z,2021-09-06T15:35:40.513Z,True,2021-09-10T19:17:30.000Z,Yatoro,ua,1,7119388,Team Spirit,TSpirit
349310876,76561198309576604,3,2018-12-03T19:43:16.631Z,2021-08-24T16:11:42.542Z,True,2021-09-07T21:19:23.000Z,MoOz,pe,2,7391077,Thunder Predator,ThunderP
407321629,76561198367587357,123,,2021-09-12T02:26:57.286Z,True,2021-09-07T21:19:23.000Z,Frank,pe,1,7391077,Thunder Predator,ThunderP
186837494,76561198147103222,Mjz❤️A,2020-02-01T01:35:56.722Z,2021-08-25T16:12:43.826Z,False,2021-09-19T19:48:02.000Z,Mjz,,2,7391077,Thunder Predator,ThunderP
59463394,76561198019729122,MYM.Fear.Razer,,2021-09-04T16:12:41.184Z,True,2021-09-07T21:19:23.000Z,Leostyle- ,,4,7391077,Thunder Predator,ThunderP
95825708,76561198056091436,786132637126783126783,,2021-09-12T19:40:38.763Z,False,2021-09-07T21:19:23.000Z,MNZ,,1,7391077,Thunder Predator,ThunderP
97658618,76561198057924346,🦈,2019-01-07T16:02:25.367Z,2021-08-25T00:00:54.722Z,False,2021-09-19T20:16:41.000Z,Timado,,1,8260983,Undying,UND
126212866,76561198086478594,overdosed on nut,2018-05-22T14:50:18.707Z,2021-08-16T11:56:38.909Z,True,2021-09-07T18:50:35.000Z,SabeRLighT,cz,1,8260983,Undying,UND
145550466,76561198105816194,DuBu,,2021-09-17T14:31:10.823Z,False,2021-09-19T19:59:05.000Z,DuBu,kr,2,8260983,Undying,UND
238239590,76561198198505318,🐟,2018-06-02T11:25:53.150Z,2021-09-11T11:05:34.325Z,True,2021-09-07T18:50:35.000Z,Bryle,,4,8260983,Undying,UND
38628747,76561197998894475,ett iz what ett izz,2018-04-04T06:05:16.487Z,2021-08-18T21:14:47.062Z,True,2021-09-07T18:50:35.000Z,MoonMeander,ca,2,8260983,Undying,UND
107803494,76561198068069222,Unowen,,2021-09-08T05:57:07.557Z,False,2021-09-19T19:12:30.000Z,曾焦阳,cn,4,726228,Vici Gaming,VG
134276083,76561198094541811,回音战刃,,2021-08-13T21:39:52.615Z,True,2021-09-05T14:48:48.000Z,old eLeVeN,cn,1,726228,Vici Gaming,VG
143693439,76561198103959167,MC子龙,,2021-08-18T07:05:17.032Z,False,2021-09-19T09:00:38.000Z,Dy,cn,2,726228,Vici Gaming,VG
277141004,76561198237406732,Aokana,,2021-09-10T05:41:55.745Z,True,2021-09-05T14:48:48.000Z,poyoyo,,1,726228,Vici Gaming,VG
138543123,76561198098808851,Neil,,2021-09-05T11:38:46.627Z,False,2021-09-19T18:45:10.000Z,Pyw,cn,2,726228,Vici Gaming,VG
124801257,76561198085066985,without a second thought,2017-08-02T13:01:28.316Z,2021-09-06T12:58:59.736Z,True,2021-08-29T14:07:04.000Z,Nightfall,,1,1883502,Virtus.pro,VP
480412663,76561198440678391,qq321,2019-04-03T17:54:59.323Z,2021-09-11T03:58:17.344Z,False,2021-09-19T16:52:25.000Z,gpk~,,4,1883502,Virtus.pro,VP
56351509,76561198016617237,Whipski,2019-01-28T13:51:11.937Z,2021-08-27T10:08:40.706Z,False,2021-09-19T20:10:12.000Z,DM,ru,1,1883502,Virtus.pro,VP
187758589,76561198148024317,Albert Ziryanov,2017-02-05T11:04:19.961Z,2021-09-01T03:09:14.004Z,True,2021-08-29T14:07:04.000Z,Kingslayer,ru,2,1883502,Virtus.pro,VP
317880638,76561198278146366,i walk a lonely road,2017-12-24T16:16:34.384Z,2021-09-14T11:30:22.989Z,False,2021-09-19T18:40:50.000Z,Save-,md,2,1883502,Virtus.pro,VP
119631156,76561198079896884,dx,2016-05-24T20:49:34.875Z,2021-08-21T19:45:01.313Z,True,2021-08-28T12:59:25.000Z,ST!NG3R,kr,2,8254400,beastcoast,bc
164685175,76561198124950903,estoy en NA  en hollywood,,2021-07-12T23:20:14.817Z,True,2021-08-28T12:59:25.000Z,k1  ,pe,1,8254400,beastcoast,bc
292921272,76561198253187000,rank1narank500euxd,,2021-08-18T02:24:24.843Z,False,2021-09-19T19:48:02.000Z,Wisper,bo,1,8254400,beastcoast,bc
153836240,76561198114101968,Cool,,2021-09-14T23:12:19.797Z,False,2021-09-19T21:26:07.000Z,Chris luck,pe,4,8254400,beastcoast,bc
28070572,76561197988336300,cacas,,2021-09-07T23:10:25.429Z,True,2021-09-12T00:21:51.000Z,Mariano,ar,1,8254400,beastcoast,bc
157989498,76561198118255226,mecha,2018-09-10T01:48:12.778Z,2021-09-03T03:18:56.619Z,True,2021-08-28T12:59:25.000Z,Scofield:❤KAT,pe,2,8254400,beastcoast,bc
