match_id,cluster,dire_team_id,duration,engine,game_mode,leagueid,lobby_type,radiant_team_id,radiant_win,series_id,series_type,radiant_team,dire_team,patch,region
6364963200,122,8205424.0,2568,1,2,13742,1,8261882.0,False,630920.0,1.0,"{'team_id': 8261882, 'name': 'felt', 'tag': 'felt', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1755809001572876579/859F0227D4B586D6065C5980CFBBBA0ABAAE184C/'}","{'team_id': 8205424, 'name': 'The Cut', 'tag': 'TC', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1647718150508756948/90879B998647BD093E090BA3A03C501778A8BBFC/'}",49,2.0
6364872935,273,8598633.0,2707,1,2,13710,1,8376696.0,True,630875.0,1.0,"{'team_id': 8376696, 'name': 'One Move', 'tag': 'Move', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1857183850310080331/2016A60B73B29A620CFA81A830603361CBB388AD/'}","{'team_id': 8598633, 'name': 'Pari Parni', 'tag': 'PPARNI', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1834667908936691921/B0DE768E38B9349ED1D103BD151874541FC38802/'}",49,3.0
6364770307,274,8376696.0,2016,1,2,13710,1,8598633.0,True,630875.0,1.0,"{'team_id': 8598633, 'name': 'Pari Parni', 'tag': 'PPARNI', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1834667908936691921/B0DE768E38B9349ED1D103BD151874541FC38802/'}","{'team_id': 8376696, 'name': 'One Move', 'tag': 'Move', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1857183850310080331/2016A60B73B29A620CFA81A830603361CBB388AD/'}",49,3.0
6364724655,274,8598999.0,2623,1,2,13379,1,8588969.0,False,630836.0,1.0,"{'team_id': 8588969, 'name': 'HYDRA', 'tag': 'HYDRA', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1840278854619106386/C39A50789290A377D21971D3E8AD7F1BDFCDC805/'}","{'team_id': 8598999, 'name': 'Coolguys', 'tag': 'COOL', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1845913680369915592/6655493F158062180DF99D99659533FFE7E1C0FF/'}",49,3.0
6364652066,274,5014799.0,2061,1,2,13710,1,8261774.0,True,630825.0,1.0,"{'team_id': 8261774, 'name': 'V-Gaming', 'tag': 'V', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1699530468133422483/88FB30CF0880687F9BB0429E3C7B59CF673DC700/'}","{'team_id': 5014799, 'name': 'Nemiga Gaming', 'tag': 'Nemiga', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/'}",49,3.0
6364612760,273,8598999.0,2177,1,2,13379,1,8588969.0,False,630836.0,1.0,"{'team_id': 8588969, 'name': 'HYDRA', 'tag': 'HYDRA', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1840278854619106386/C39A50789290A377D21971D3E8AD7F1BDFCDC805/'}","{'team_id': 8598999, 'name': 'Coolguys', 'tag': 'COOL', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1845913680369915592/6655493F158062180DF99D99659533FFE7E1C0FF/'}",49,3.0
6364487473,184,5014799.0,1406,1,2,13710,1,8261774.0,True,630825.0,1.0,"{'team_id': 8261774, 'name': 'V-Gaming', 'tag': 'V', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1699530468133422483/88FB30CF0880687F9BB0429E3C7B59CF673DC700/'}","{'team_id': 5014799, 'name': 'Nemiga Gaming', 'tag': 'Nemiga', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/'}",49,8.0
6364466548,274,8588969.0,2872,1,2,13379,1,8598999.0,False,630836.0,1.0,"{'team_id': 8598999, 'name': 'Coolguys', 'tag': 'COOL', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1845913680369915592/6655493F158062180DF99D99659533FFE7E1C0FF/'}","{'team_id': 8588969, 'name': 'HYDRA', 'tag': 'HYDRA', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1840278854619106386/C39A50789290A377D21971D3E8AD7F1BDFCDC805/'}",49,3.0
6364343018,273,5014799.0,1444,1,2,13710,1,8261774.0,False,630825.0,1.0,"{'team_id': 8261774, 'name': 'V-Gaming', 'tag': 'V', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1699530468133422483/88FB30CF0880687F9BB0429E3C7B59CF673DC700/'}","{'team_id': 5014799, 'name': 'Nemiga Gaming', 'tag': 'Nemiga', 'logo_url': 'https://steamusercontent-a.akamaihd.net/ugc/1761446291384253796/DDD9E9CE3AC50467578944F685C4BD84ED0285B7/'}",49,3.0
6364115669,273,46.0,1793,1,2,13709,1,1883502.0,True,630796.0,1.0,"{'team_id': 1883502, 'name': 'Virtus.pro', 'tag': 'VP', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/1883502.png'}","{'team_id': 46, 'name': 'Team Empire', 'tag': 'Empire', 'logo_url': 'https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/46.png'}",49,3.0
