account_id,match_id,assists,camps_stacked,deaths,denies,firstblood_claimed,gold_per_min,kills,last_hits,obs_placed,roshans_killed,rune_pickups,stuns,teamfight_participation,towers_killed,start_time,isRadiant,win,lose
86818655,6595180856.48,12.88,3.12,7.2,1.92,0.0,298.04,2.2,71.32,8.48,0.16,4.84,22.678471516000005,0.609484178,0.4,1653966724.16,0.64,0.52,0.48
916319073,6595180856.48,13.36,2.44,5.72,2.44,0.16,298.92,3.72,64.8,8.36,0.04,4.24,42.03001184,0.690291484,0.16,1653966724.16,0.64,0.52,0.48
88611330,6595180856.48,9.72,2.36,3.64,8.24,0.12,622.92,6.12,370.88,0.52,0.4,3.84,33.732910231999995,0.6297031576,2.72,1653966724.16,0.64,0.52,0.48
177953305,6595289128.12,14.84,2.04,7.6,5.28,0.04,319.32,2.8,92.56,9.12,0.04,4.96,36.656489896,0.6494101991999998,0.32,1653975612.08,0.72,0.44,0.56
88153289,6595737811.2,8.36,1.32,8.56,2.84,0.08,330.44,3.32,116.56,4.0,0.0,3.16,25.825983204000003,0.5320379412,0.32,1653991477.36,0.64,0.2,0.8
203851397,6595797600.4,8.6,1.32,3.96,15.48,0.08,619.76,6.12,381.12,0.0,0.56,2.72,19.073935492,0.5446845467999999,1.96,1654001208.6,0.64,0.28,0.72
104334048,6596117213.44,16.96,3.44,7.92,5.52,0.12,329.88,2.48,97.12,8.96,0.0,5.12,35.598445807999994,0.632504976,0.56,1654028135.36,0.32,0.68,0.32
168028715,6596358312.68,8.92,1.2,2.24,14.08,0.04,635.96,7.28,328.88,0.16,0.52,2.2,12.395179608,0.6102073887999999,2.0,1654037524.4,0.4,0.76,0.24
135495981,6596391504.12,11.04,1.4583333333333333,6.56,12.56,0.20833333333333334,472.6,6.44,199.6,0.16666666666666666,0.25,3.0,17.443075116666662,0.6926536725,1.0416666666666667,1654050850.24,0.24,0.48,0.52
59463394,6596432220.84,8.16,1.6,4.36,11.0,0.08,543.2,6.12,296.24,1.0,0.36,9.28,30.210010951999998,0.6102333552,0.92,1654032129.36,0.68,0.36,0.64
349310876,6596432220.84,10.84,1.76,6.72,1.76,0.08,313.6,2.84,78.6,7.64,0.0,3.64,33.11967696,0.5868201308,0.12,1654032129.36,0.68,0.36,0.64
123953528,6596776101.04,11.48,1.2,3.52,7.48,0.04,493.72,8.2,268.36,1.32,0.4,11.2,25.411830443999996,0.7354190256000002,0.64,1654060672.44,0.44,0.32,0.68
181716137,6596781393.08,7.12,1.68,3.08,13.2,0.2,630.44,8.12,367.68,0.12,0.68,2.72,14.281007908000001,0.6410567239999999,2.16,1654063724.2,0.6,0.44,0.56
117311875,6597166298.64,13.6,0.68,8.64,7.68,0.0,433.92,4.0,200.24,0.12,0.08,3.72,47.65711448,0.5846093835999998,0.92,1654085725.36,0.4,0.4,0.6
113457795,6597285241.28,10.88,3.1666666666666665,5.12,9.56,0.125,555.4,8.12,280.08,1.7083333333333333,0.16666666666666666,11.541666666666666,37.145190708333324,0.7685196066666666,0.9583333333333334,1654099811.0,0.2,0.4,0.6
119576842,6597285241.28,14.0,1.8333333333333333,7.64,6.76,0.0,285.52,1.72,64.68,4.375,0.125,2.9583333333333335,34.833372237499994,0.6087641895833333,0.3333333333333333,1654099811.0,0.2,0.4,0.6
116585378,6597285241.28,9.0,1.7083333333333333,4.56,19.68,0.0,634.8,6.88,354.24,0.08333333333333333,0.3333333333333333,2.75,34.353391637499996,0.6161750116666668,2.7916666666666665,1654099811.0,0.2,0.4,0.6
242885483,6597301659.48,12.84,1.92,5.36,2.2,0.04,305.16,3.84,79.12,4.52,0.0,4.08,26.105541884800004,0.6295143639999999,0.04,1654091858.84,0.6,0.36,0.64
161072811,6597844025.2,12.48,1.04,6.08,9.52,0.08,483.8,7.44,212.48,1.56,0.24,9.04,39.684485492,0.648691086,0.68,1654115899.72,0.8,0.4,0.6
108452107,6598948591.16,8.36,1.68,1.92,11.44,0.08,622.52,6.36,340.92,0.0,0.64,3.12,12.340209399999999,0.578275416,2.44,1654185751.56,0.48,0.68,0.32
345072645,6600422906.88,8.76,2.52,3.92,9.36,0.12,686.56,6.8,430.36,0.04,0.52,3.28,15.020095503999999,0.5521048467999998,2.64,1654265763.48,0.68,0.4,0.6
100708765,6601657606.6,17.4,1.8,7.76,1.56,0.0,327.08,2.72,88.2,14.4,0.2,4.88,37.089715,0.6076728572,0.44,1654330041.88,0.76,0.4,0.6
158847773,6601849658.28,13.12,2.76,6.92,4.68,0.08,300.24,2.32,70.8,5.2,0.0,5.08,26.736714135999996,0.6943518132000002,0.2,1654356044.8,0.28,0.48,0.52
139031324,6601849658.28,10.32,0.68,4.36,10.24,0.08,461.2,4.8,224.44,0.04,0.08,2.56,17.137130491999997,0.6368035688,0.88,1654356044.8,0.28,0.48,0.52
227657377,6601849658.28,8.6,1.24,3.0,13.44,0.16,674.32,6.56,424.4,0.08,0.76,3.68,18.8892098,0.6667534676000001,2.92,1654356044.8,0.28,0.48,0.52
76904792,6602126724.24,13.68,3.72,5.92,3.68,0.12,303.4,2.48,66.84,10.76,0.04,4.72,25.716936323999995,0.6529016828,0.04,1654362893.04,0.36,0.44,0.56
93817671,6603238942.32,16.36,2.08,5.68,4.56,0.12,297.28,2.44,40.2,7.48,0.08,3.28,35.141528176,0.6230376500000001,0.24,1654425666.96,0.64,0.76,0.24
86850560,6603379231.96,15.92,1.36,7.68,2.68,0.2,328.04,3.68,83.08,10.04,0.08,5.24,33.645376731999995,0.6290634736000001,0.4,1654432724.2,0.36,0.52,0.48
133167741,6603502575.2,11.32,1.52,2.64,8.0,0.0,601.12,7.68,353.24,1.04,0.28,9.56,31.837998636,0.705826372,0.68,1654445959.04,0.68,0.68,0.32
196389151,6603774884.48,13.16,1.1666666666666667,3.8,7.76,0.08333333333333333,505.24,5.36,316.6,1.25,0.20833333333333334,8.25,29.603545733333334,0.7327307683333336,0.9166666666666666,1654470715.4,0.4,0.44,0.56
122049498,6604431114.64,8.52,2.4,2.92,9.72,0.16,637.28,6.44,370.72,0.0,0.6,2.88,18.415865004,0.6084925258399998,2.56,1654506571.16,0.64,0.48,0.52
12231202,6604431114.64,9.96,2.12,2.96,7.56,0.04,542.0,7.52,294.36,1.68,0.08,11.16,36.031665280000006,0.7219373424,0.84,1654506571.16,0.64,0.48,0.52
151069590,6604431114.64,13.08,2.84,7.84,3.0,0.0,289.32,1.92,59.32,10.44,0.08,4.88,25.07001181999999,0.6013002251999998,0.6,1654506571.16,0.64,0.48,0.52
41231571,6604431114.64,11.88,1.96,5.52,10.32,0.08,445.16,4.32,201.56,0.12,0.16,1.28,31.527176396,0.6582409403999999,1.52,1654506571.16,0.64,0.48,0.52
18180970,6604431114.64,12.8,3.68,6.72,3.24,0.04,305.44,3.8,72.36,5.96,0.0,3.8,16.566851676000002,0.6784520304,0.08,1654506571.16,0.64,0.48,0.52
58513047,6604716863.52,12.24,2.52,4.04,6.08,0.08,599.28,9.2,343.8,1.88,0.12,11.28,24.962613987999998,0.7033888443999998,0.64,1654504776.84,0.4,0.6,0.4
50580004,6604716863.52,15.08,2.08,5.2,17.76,0.16,471.6,4.76,239.32,0.04,0.08,2.84,41.651167220000005,0.6529347952000001,1.32,1654504776.84,0.4,0.6,0.4
73401082,6605477577.68,13.32,1.72,8.32,2.88,0.04,272.44,2.56,46.28,10.24,0.04,3.04,23.429631744,0.5972857496,0.2,1654560280.92,0.52,0.52,0.48
127530803,6605477577.68,10.4,1.32,2.96,9.92,0.04,591.76,6.96,346.4,1.72,0.12,9.8,29.351041564000003,0.6832705407999999,1.4,1654560280.92,0.52,0.52,0.48
191458152,6605705259.84,9.0,1.375,3.52,8.92,0.08333333333333333,544.04,6.24,314.0,1.5,0.25,8.541666666666666,18.64282064166667,0.6585954483333334,1.0833333333333333,1654566397.52,0.44,0.36,0.64
198161112,6605705259.84,12.48,1.625,6.0,1.96,0.08333333333333333,286.76,1.92,67.48,8.333333333333334,0.0,2.4166666666666665,20.021198708333326,0.61556980125,0.08333333333333333,1654566397.52,0.44,0.36,0.64
164530809,6605705259.84,12.6,1.8333333333333333,6.28,2.48,0.041666666666666664,285.24,3.4,66.8,6.166666666666667,0.08333333333333333,4.333333333333333,42.863067604166666,0.6696908037499999,0.25,1654566397.52,0.44,0.36,0.64
156029808,6606009636.52,14.8,2.8,6.72,4.2,0.08,353.36,4.52,108.96,5.56,0.08,4.96,39.294072799999995,0.6629419236000001,0.16,1654591661.08,0.64,0.48,0.52
113874152,6606009636.52,13.84,1.04,5.12,15.96,0.16,468.32,5.16,243.52,0.2,0.24,3.84,27.129719976,0.6389070776000001,1.32,1654591661.08,0.64,0.48,0.52
100616105,6606517584.12,15.16,1.6,7.28,2.64,0.0,314.04,2.88,66.08,13.4,0.2,3.76,25.250285056000003,0.6372978432,0.76,1654622021.32,0.6,0.48,0.52
136600451,6606657742.32,14.8,0.7083333333333334,5.08,13.0,0.16666666666666666,432.72,4.68,212.28,0.08333333333333333,0.125,2.3333333333333335,37.26090245833333,0.7239854654166668,0.5416666666666666,1654618635.0,0.48,0.48,0.52
113152484,6606759978.16,11.08,1.24,6.04,9.48,0.12,439.8,5.48,221.2,0.04,0.12,3.6,25.602635259200007,0.6335054108,0.52,1654644764.4,0.16,0.48,0.52
192120253,6607032949.56,15.24,0.72,9.68,1.84,0.0,268.28,2.96,35.12,9.88,0.0,1.8,21.244508096000004,0.6391820415999999,0.16,1654643920.8,0.36,0.32,0.68
88553213,6607131790.0,10.2,1.08,7.08,2.68,0.0,263.96,1.2,56.88,9.0,0.04,4.96,38.74804769600001,0.6501034644000001,0.24,1654646772.88,0.36,0.16,0.84
94004717,6607189306.04,8.24,1.68,3.24,14.28,0.12,683.84,8.28,391.56,0.08,0.48,3.24,19.279823351999998,0.6245978096000002,3.44,1654652657.48,0.64,0.52,0.48
85937380,6607189306.04,12.4,1.0,4.36,8.76,0.04,492.8,6.76,234.76,1.12,0.16,8.84,32.966831116,0.705457542,0.76,1654652657.48,0.64,0.52,0.48
84853828,6607189306.04,13.92,2.24,7.36,2.08,0.12,317.08,3.08,79.12,6.64,0.0,4.08,32.27839848000001,0.6451850872,0.08,1654652657.48,0.64,0.52,0.48
117956848,6607400646.8,11.16,0.76,5.2,10.28,0.04,457.04,5.8,201.04,0.0,0.32,2.04,25.030127684,0.6262928312,1.24,1654664498.2,0.6,0.48,0.52
165178538,6608011883.96,9.0,0.9166666666666666,4.2,9.2,0.20833333333333334,480.64,5.72,230.68,0.125,0.25,2.4166666666666665,24.829138320833337,0.6550763433333334,0.9166666666666666,1654707299.32,0.8,0.56,0.44
162926943,6608011883.96,13.12,1.625,5.44,2.16,0.041666666666666664,266.84,2.16,49.28,5.291666666666667,0.0,2.75,44.99763975,0.6753598191666667,0.20833333333333334,1654707299.32,0.8,0.56,0.44
108221389,6608011883.96,13.04,1.9166666666666667,6.36,3.76,0.041666666666666664,272.96,1.48,53.0,10.166666666666666,0.125,4.166666666666667,38.94999027500001,0.6249082645833335,0.125,1654707299.32,0.8,0.56,0.44
250547284,6608011883.96,8.12,1.0833333333333333,2.6,13.64,0.20833333333333334,591.72,6.56,316.84,0.125,0.4583333333333333,2.7916666666666665,12.500751011250001,0.5834250220833332,2.25,1654707299.32,0.8,0.56,0.44
255219872,6608011883.96,9.64,1.125,2.48,11.08,0.08333333333333333,531.12,6.68,298.16,1.0,0.2916666666666667,10.333333333333334,18.966505702500005,0.70948575875,0.7916666666666666,1654707299.32,0.8,0.56,0.44
107023378,6608323906.56,14.24,2.6,4.4,3.4,0.08,289.6,1.32,63.8,11.2,0.08,4.84,15.251218160000002,0.5968895508000001,0.36,1654711632.96,0.48,0.76,0.24
117015167,6609056249.56,13.36,2.32,6.4,1.8,0.04,323.24,3.68,97.08,3.44,0.04,5.44,33.78779092,0.7452655371999998,0.04,1654758810.76,0.6,0.4,0.6
56939869,6609056249.56,8.44,2.2,4.44,18.24,0.2,599.8,7.16,351.72,0.04,0.52,4.68,10.482850604,0.6744580264000001,2.04,1654758810.76,0.6,0.4,0.6
245373129,6609056249.56,9.08,1.08,4.68,9.32,0.0,521.76,5.24,304.88,1.56,0.12,6.36,32.40676748800001,0.6273619944,2.12,1654758810.76,0.6,0.4,0.6
253962772,6609067778.0,12.16,0.8333333333333334,3.92,8.76,0.20833333333333334,483.84,6.72,263.68,0.041666666666666664,0.3333333333333333,3.2916666666666665,32.877609112500004,0.7076128483333336,0.7916666666666666,1654761567.32,0.48,0.48,0.52
376376587,6609067778.0,9.12,2.625,3.4,12.48,0.16666666666666666,691.28,7.56,491.56,0.0,0.25,4.291666666666667,17.880785927499996,0.6335940029166666,3.125,1654761567.32,0.48,0.48,0.52
257945712,6609067778.0,14.0,1.9583333333333333,6.16,3.72,0.0,332.92,2.36,106.28,8.833333333333334,0.125,5.166666666666667,32.63395686375,0.6080336458333333,0.25,1654761567.32,0.48,0.48,0.52
221666230,6609233788.92,10.08,2.2,3.16,10.16,0.12,583.8,7.8,330.4,1.44,0.4,9.72,28.479984292000005,0.7420133364,1.36,1654770242.16,0.52,0.64,0.36
92423451,6609833009.36,8.48,0.64,4.48,12.16,0.04,447.44,2.8,247.72,0.12,0.16,2.04,29.798474392,0.5802337115999999,0.72,1654829325.64,0.6,0.2,0.8
138543123,6610060332.44,11.84,2.56,6.24,4.0,0.08,307.04,3.52,78.96,5.28,0.16,3.2,38.040277696,0.6708685679999998,0.24,1654819308.28,0.4,0.52,0.48
137193239,6610060332.44,9.92,1.12,2.96,8.32,0.08,541.52,6.84,282.36,0.92,0.2,11.36,29.163002123999995,0.7218195052,0.96,1654819308.28,0.4,0.52,0.48
143693439,6610060332.44,12.44,2.48,5.2,3.16,0.04,274.56,1.72,49.96,10.48,0.04,3.28,20.712279556000002,0.6353362163999999,0.24,1654819308.28,0.4,0.52,0.48
185908355,6610060332.44,6.92,1.72,2.8,14.08,0.08,605.6,5.76,336.72,0.16,0.72,2.92,9.151051192,0.5591384747999999,2.08,1654819308.28,0.4,0.52,0.48
141010367,6610372911.88,15.56,2.25,5.8,3.64,0.125,296.0,3.16,81.0,7.25,0.0,3.4583333333333335,56.16762970833332,0.6974165320833334,0.16666666666666666,1654835827.04,0.32,0.44,0.56
209287073,6610574788.92,14.2,3.16,6.52,3.0,0.08,357.24,4.16,93.52,3.28,0.04,4.52,41.86674134399999,0.6194119419999999,0.36,1654844498.6,0.6,0.6,0.4
274078636,6610574788.92,14.84,1.96,5.72,2.16,0.0,287.8,3.0,36.24,11.84,0.0,4.92,30.452862760000002,0.6121229744000002,0.12,1654844498.6,0.6,0.6,0.4
392169957,6610574788.92,9.76,0.76,3.48,11.12,0.12,589.16,8.88,285.04,1.44,0.4,7.2,26.224279587999998,0.6501644736,2.08,1654844498.6,0.6,0.6,0.4
458287006,6610574788.92,9.8,1.84,3.16,10.96,0.04,592.44,8.0,304.4,0.36,0.52,3.68,9.666363297999998,0.597607136,2.0,1654844498.6,0.6,0.6,0.4
339235645,6610681521.8,8.96,1.08,2.92,12.96,0.2,731.64,9.36,409.48,0.0,0.68,3.36,20.004822028,0.5849918772,3.2,1654846509.64,0.56,0.68,0.32
408729743,6610681521.8,15.08,0.88,3.48,8.0,0.08,462.12,6.6,204.16,0.08,0.04,1.96,42.80605036,0.6870191308,0.56,1654846509.64,0.56,0.68,0.32
352545711,6610681521.8,13.56,0.76,4.0,8.4,0.0,581.0,7.8,316.4,1.36,0.24,12.28,53.61109159999999,0.6917704452000001,1.24,1654846509.64,0.56,0.68,0.32
117089283,6610681521.8,15.44,4.92,5.0,2.48,0.16,274.6,2.48,33.4,8.08,0.08,3.8,14.993475520000002,0.5711686472,0.16,1654846509.64,0.56,0.68,0.32
155332459,6610681521.8,16.28,3.0,4.96,2.72,0.16,298.04,4.2,57.2,7.4,0.0,2.84,37.3367049,0.6759435160000001,0.0,1654846509.64,0.56,0.68,0.32
237201026,6610789081.4,11.2,1.6,4.16,12.68,0.08,505.12,7.96,258.12,1.16,0.08,8.6,38.9241124,0.7095469840000002,0.84,1654857601.72,0.52,0.52,0.48
196482746,6611078028.36,9.0,2.72,3.92,6.76,0.12,488.04,6.0,260.12,1.64,0.12,7.8,21.057730584,0.7312697076000001,0.28,1654881732.0,0.48,0.28,0.72
91460772,6611078028.36,11.4,2.8,6.52,5.88,0.04,282.76,2.2,62.96,10.04,0.12,4.32,21.351348012000003,0.6271309568,0.28,1654881732.0,0.48,0.28,0.72
90423751,6611078028.36,9.2,1.56,5.8,4.16,0.08,265.04,2.88,62.52,5.68,0.12,3.76,20.521470720000003,0.588402256,0.32,1654881732.0,0.48,0.28,0.72
363871826,6611078028.36,8.08,0.96,4.56,14.12,0.12,465.12,3.28,238.8,0.0,0.2,2.04,21.47942768,0.56499895,1.08,1654881732.0,0.48,0.28,0.72
81475303,6612087028.48,9.96,1.56,3.32,7.88,0.04,582.8,6.64,321.92,0.0,0.4,3.28,19.863135187999998,0.5774025056,1.48,1654926546.16,0.6,0.48,0.52
412758827,6612087028.48,10.96,1.48,4.32,9.68,0.16,488.72,7.12,226.24,1.8,0.08,7.92,26.461586612000005,0.6595197444,0.84,1654926546.16,0.6,0.48,0.52
110583422,6612087028.48,14.4,0.88,8.24,2.48,0.16,335.52,3.32,94.44,8.92,0.16,3.92,20.170473347999998,0.6294127755999999,0.56,1654926546.16,0.6,0.48,0.52
